tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
sortix-0.4,56.11888111888112,10.076923076923077,2.4265734265734267,8025,1441,347
sortix-0.5,64.58549222797927,12.160621761658032,3.2797927461139897,12465,2347,633
sortix-0.6,62.62015503875969,13.286821705426357,3.6744186046511627,16156,3428,948
sortix-0.7,56.977777777777774,12.017283950617283,3.68641975308642,23076,4867,1493
sortix-0.8,52.33532934131737,11.343883661248931,2.6672369546621044,61180,13261,3118
sortix-0.9,53.72469325153374,11.632668711656441,2.5943251533742333,70057,15169,3383
