tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
llvmorg-2.9.0-rc3,155.739587313718,39.71990829193733,11.548910966755827,815141,207894,60447
llvmorg-2.9.0,155.739587313718,39.71990829193733,11.548910966755827,815141,207894,60447
llvmorg-3.0.0-rc1,132.88811054601285,24.798867671048843,7.6125131945110835,1384827,258429,79330
llvmorg-3.0.0-rc2,132.88285522402379,24.79957785666315,7.61239566343663,1385038,258486,79344
llvmorg-3.0.0-rc3,132.89043461575363,24.806773481723113,7.613259138443826,1385117,258561,79353
llvmorg-3.0.0-rc4,132.89062649908854,24.806773481723113,7.613259138443826,1385119,258561,79353
llvmorg-3.0.0,132.89062649908854,24.806773481723113,7.613259138443826,1385119,258561,79353
llvmorg-3.1.0-rc1,171.1462857142857,38.387142857142855,10.86657142857143,1198024,268710,76066
llvmorg-3.1.0-rc2,171.15814285714285,38.388,10.866857142857143,1198107,268716,76068
llvmorg-3.1.0-rc3,171.16114285714286,38.389428571428574,10.867142857142857,1198128,268726,76070
llvmorg-3.1.0,171.1385318480434,38.37446443873179,10.864467295058555,1198312,268698,76073
llvmorg-3.2.0-rc1,146.25493000150536,28.617868432936927,8.5401926840283,1943143,380217,113465
llvmorg-3.2.0-rc2,146.2695056805357,28.625385599277706,8.539462794372131,1944068,380460,113498
llvmorg-3.2.0-rc3,146.26807614175004,28.627642765781356,8.539688511022497,1944049,380490,113501
llvmorg-3.2.0,146.28137225398737,28.628046945531146,8.540625940415287,1944372,380524,113522
llvmorg-3.3.0-rc1,132.58924414092814,26.519711314604997,8.119354338041285,1708545,341733,104626
llvmorg-3.3.0-rc2,143.80610955056179,28.67015449438202,8.580477528089888,2047799,408263,122186
llvmorg-3.3.0-rc3,143.82248437609718,28.673969524612037,8.580998525384453,2048176,408346,122202
llvmorg-3.3.0,143.82613580506987,28.674531282915524,8.580998525384453,2048228,408354,122202
llvmorg-3.3.1-rc1,143.76136044880786,28.662272089761572,8.575385694249649,2050037,408724,122285
llvmorg-3.4.0-rc1,145.35491961414792,28.92797427652733,8.96,2260269,449830,139328
llvmorg-3.4.0-rc2,145.361369915826,28.940499903617553,8.970828246482041,2262259,450401,139613
llvmorg-3.4.0-rc3,145.39812435765674,28.950089928057555,8.978738437821171,2263558,450695,139781
llvmorg-3.4.0,145.39084077333163,28.948551608966536,8.97822596184726,2263590,450700,139782
llvmorg-3.4.1-rc1,145.41049521485002,28.95735114650909,8.97918941486287,2263896,450837,139797
llvmorg-3.4.1-rc2,145.41055944505106,28.95747960691117,8.97925364506391,2263897,450839,139798
llvmorg-3.4.1,145.41055944505106,28.95747960691117,8.97925364506391,2263897,450839,139798
llvmorg-3.4.2-rc1,145.41409210610828,28.958828441133022,8.97925364506391,2263952,450860,139798
llvmorg-3.4.2,145.41409210610828,28.958828441133022,8.97925364506391,2263952,450860,139798
llvmorg-3.5.0-rc1,147.7287647566945,29.65977541030809,9.136654189461561,2565310,515042,158658
llvmorg-3.5.0-rc2,147.7382241160889,29.66123459633767,9.13722215824024,2565622,515097,158677
llvmorg-3.5.0-rc3,150.08627113786184,29.807451991974776,9.198968185726569,2618255,519991,160476
llvmorg-3.5.0-rc4,150.086615075953,29.807509314989968,9.19891086271138,2618261,519992,160475
llvmorg-3.5.0,150.086615075953,29.807509314989968,9.19891086271138,2618261,519992,160475
llvmorg-3.5.1-rc1,150.0673313850209,29.805627184688557,9.197409890550684,2618825,520138,160504
llvmorg-3.5.1-rc2,150.0673313850209,29.805627184688557,9.197409890550684,2618825,520138,160504
llvmorg-3.5.1,150.0673313850209,29.805627184688557,9.197409890550684,2618825,520138,160504
llvmorg-3.5.2-rc1,148.8388544803682,29.557645320756862,9.120972782544463,2619415,520185,160520
llvmorg-3.5.2,148.8388544803682,29.557645320756862,9.120972782544463,2619415,520185,160520
llvmorg-3.6.0-rc1,149.82052680373016,30.049081092872335,9.23809783497846,2747259,551010,169399
llvmorg-3.6.0-rc2,149.820001090572,30.049566497628007,9.237581111292872,2747549,551079,169408
llvmorg-3.6.0-rc3,149.80688075895534,30.04765279973829,9.236737364374898,2747608,551104,169411
llvmorg-3.6.0-rc4,149.81876669756284,30.049888228558967,9.237228068262363,2747826,551145,169420
llvmorg-3.6.0,149.81898478817948,30.049888228558967,9.237228068262363,2747830,551145,169420
llvmorg-3.6.1-rc1,149.8066924628045,30.04975747997166,9.236634148999945,2748803,551383,169483
llvmorg-3.6.1,149.8066924628045,30.04975747997166,9.236634148999945,2748803,551383,169483
llvmorg-3.6.2-rc1,149.80648501362398,30.049700272479566,9.236730245231607,2748949,551412,169494
llvmorg-3.6.2,149.80653950953678,30.049700272479566,9.236730245231607,2748950,551412,169494
llvmorg-3.7.0-rc1,150.09337155849934,30.40255054124858,9.285304730364292,3036539,615074,187851
llvmorg-3.7.0-rc2,150.75400858453796,30.5123587744832,9.357935763974542,3055633,618455,189676
llvmorg-3.7.0-rc3,150.79709930442505,30.517981352671303,9.358985743179913,3056808,618630,189716
llvmorg-3.7.0-rc4,150.79690197819545,30.518080015786097,9.35903507473731,3056804,618632,189717
