tag,aNCSS,aCC,aFunctions,sNCSS,sCCN,sFunctions
7.2.0_cvs,276.5100057725611,52.66129497787185,7.600057725610929,5748090,1094723,157990
7.2.0,277.9772023233301,52.94549854791868,7.640900290416264,5743009,1093854,157861
7.3.0_cvs,280.0229285338184,53.037145182135845,7.644296587047053,5849959,1107999,159697
7.3.0,281.55421744785394,53.331952406185266,7.686256563418277,5844784,1107118,159559
7.4.0_cvs,282.5032716927454,53.169890943575155,7.668847795163584,5957994,1121353,161736
7.4.0,284.0091125954198,53.45777671755725,7.709971374045802,5952831,1120475,161601
8.0.0_cvs,282.5952229299363,53.028753412192906,7.736305732484077,6211443,1165572,170044
8.0.0,284.181684981685,53.334294871794874,7.779075091575091,6206528,1164821,169895
8.1.0_cvs,284.21077241255284,53.26472439528819,7.796331265173995,6321416,1184714,173406
8.1.0,285.80109497307814,53.57056241799014,7.839328537170264,6316490,1183963,173257
8.2.0_cvs,289.232601299103,53.511334010870044,7.865494233573417,6545623,1211015,178004
8.2.0,290.7883529673261,53.805734607690596,7.907623916425872,6541284,1210360,177882
8.3.0_cvs,293.71565922221265,53.71600413900146,7.914460636371476,6812441,1245889,183568
8.3.0,295.2211092320368,53.99700793547548,7.954902215862278,6808094,1245225,183448
8.4.0,297.12049282729504,54.54719338301814,8.004609486063844,6897058,1266204,185811
9.0.0,309.4826317785362,57.628631020098595,9.407508532423208,8161057,1519667,248076
9.1.0,312.51405355494,58.11095106186519,9.571191135734072,8461318,1573354,259140
9.2.0,317.17293939175033,58.922921332081195,9.793794697681138,8781250,1631340,271151
9.3.0,323.0568572542625,59.86033816596363,9.932579490269752,9113757,1688720,280208
10.0.0,323.2392363396972,59.54578670177749,10.15832784726794,9820008,1809001,308610
10.1.0,326.8393284595976,60.40606197839167,10.299378922171185,10103911,1867393,318395
10.2.0,333.96177736777366,59.311346863468636,10.210885608856088,10860437,1928805,332058
10.3.0,334.3873504482727,59.50218781555032,10.23138826841284,10928113,1944591,334372
10.4.0,340.6573502394362,59.500768002891306,10.266090413516851,11310846,1975604,340865
11.0.0,336.7750174849629,60.13713806126731,10.74270527346482,12038023,2149602,383998
11.0.1,336.7869911875787,60.14055112603161,10.742873129108967,12038451,2149724,384004
11.1.0,337.88237354819586,60.61066048667439,11.000161685844404,12538477,2249201,408205
11.2.0,338.90701429948166,61.115880499049304,11.171489594457324,13011657,2346422,428907
11.3.0,341.7288182902383,62.08229084726839,11.408815245248547,13467191,2446601,449610
11.4.0,343.50288728345373,62.98437617178712,11.639627027972901,13741146,2519564,465620
12.0.0,333.1650852445707,60.231403490968134,11.144459102902374,13132035,2374081,439270
12.1.0,333.3584071876755,60.58143509363022,11.378549280988306,13654027,2481355,466054
12.2.0,336.5790732150543,61.681244321170674,11.643728181339965,14076410,2579633,486964
12.3.0,337.13682855303625,61.760985146508354,11.659084948620746,14140530,2590441,489017
12.4.0,338.99377814923156,62.82077355249106,11.935111668291777,14601818,2705942,514093
13.0.0,326.8501457725948,59.17715806819622,11.696336671314489,12892604,2334243,461362
13.1.0,327.89067508380435,59.84460104235484,11.86931415008931,13400564,2445789,485087
13.2.0,332.4829281158586,60.050040761521124,11.967390783100752,13866533,2504447,499112
14.0.0,325.0353212183261,58.85394513344347,11.811131535472462,13969043,2529366,507607
